,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
634,J4K5succ250_ampGrad,3x,3,0,350,172-195,191-214,262.0590734396398,337.6824498299665,0.0,0.0,0.31622776601683794,
635,J4K5succ250_ampGrad,3x,3,0,400,187-210,206-229,261.6859029819737,336.1067587391788,0.0,0.0,0.31622776601683794,
636,J4K5succ250_ampGrad,3x,3,0,450,202-226,221-244,259.85434459773103,330.3732686316373,0.0,0.0,0.31622776601683794,
637,J4K5succ250_ampGrad,3x,3,2,-150,22-45,40-64,270.2503528562561,311.54127511284844,3.8310544938464086,3.219006396669613,0.31622776601683794,
638,J4K5succ250_ampGrad,3x,3,2,-100,37-60,56-79,264.3261718850296,309.85899154251166,2.9247959856334083,2.5329214965167917,0.31622776601683794,
639,J4K5succ250_ampGrad,3x,3,2,-50,52-75,71-94,264.54860282341025,324.03461263705304,2.250286360355972,2.8820013048639335,0.31622776601683794,
640,J4K5succ250_ampGrad,3x,3,2,0,67-90,86-109,256.6237239759945,322.692849960565,2.8034647426643176,3.9437957735033815,0.31622776601683794,
641,J4K5succ250_ampGrad,3x,3,2,50,82-105,101-124,259.97061396050356,316.3459591898336,3.0237423634783913,5.405040474824034,0.31622776601683794,
642,J4K5succ250_ampGrad,3x,3,2,100,97-120,116-139,255.27951475081397,322.8763274491436,3.3404566849807225,1.975173965192312,0.31622776601683794,
643,J4K5succ250_ampGrad,3x,3,2,150,112-135,131-154,263.7137597399194,322.0107403222674,2.7340269988474692,1.3468490347686384,0.31622776601683794,
644,J4K5succ250_ampGrad,3x,3,2,200,127-150,146-169,263.0474042213012,330.26267963050725,2.298846973248033,0.3576299058697145,0.31622776601683794,
645,J4K5succ250_ampGrad,3x,3,2,250,142-165,161-184,260.63642237790305,325.43722153750184,3.024256536714006,1.2932464306292104,0.31622776601683794,
646,J4K5succ250_ampGrad,3x,3,2,300,157-180,176-199,259.1407507230844,340.72595358784787,2.3224325853091154,3.9564325566245766,0.31622776601683794,
647,J4K5succ250_ampGrad,3x,3,2,350,172-195,191-214,264.65155875655137,341.53954759688264,2.592485316911564,3.857097766916127,0.31622776601683794,
648,J4K5succ250_ampGrad,3x,3,2,400,187-210,206-229,265.14243297628985,338.129003003452,3.4565299943161563,2.0222442642731835,0.31622776601683794,
649,J4K5succ250_ampGrad,3x,3,2,450,202-226,221-244,263.88251957413763,332.47284786071737,4.028174976406604,2.099579229080064,0.31622776601683794,
650,J4K5succ250_ampGrad,3x,3,4,-150,22-45,40-64,276.3663597076079,315.51645566519704,9.947061345198222,7.194186949018217,0.31622776601683794,
651,J4K5succ250_ampGrad,3x,3,4,-100,37-60,56-79,269.4048849003225,313.36286254138884,8.003509000926273,6.036792495394025,0.31622776601683794,
652,J4K5succ250_ampGrad,3x,3,4,-50,52-75,71-94,270.5785553218965,325.06900877316133,8.280238858842267,3.916397440972162,0.31622776601683794,
653,J4K5succ250_ampGrad,3x,3,4,0,67-90,86-109,265.35052335070384,330.2072043351065,11.530264117373662,11.458150148044922,0.31622776601683794,
654,J4K5succ250_ampGrad,3x,3,4,50,82-105,101-124,267.17189628958425,322.2191314779745,10.225024692559034,11.27821276296504,0.31622776601683794,
